
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
412068440,-0.451904,-0.184082,0.857422,2.288818,0.663757,0.915527,22.412109,24.316406,-4.248047
415151930,-0.445068,-0.182129,0.870361,2.464294,1.022339,0.839233,22.412109,24.316406,-4.248047
418071727,-0.450684,-0.185303,0.864990,2.265930,1.075745,1.029968,22.412109,24.316406,-4.248047
420561986,-0.453369,-0.182373,0.879883,2.563477,0.770569,0.968933,22.412109,24.316406,-4.248047
423157680,-0.451904,-0.182373,0.871338,2.700806,0.991821,0.915527,22.412109,24.316406,-4.248047
426144349,-0.453857,-0.179688,0.864258,3.089905,0.991821,0.831604,22.851563,24.902344,-4.248047
429121993,-0.457031,-0.180664,0.868164,2.655029,0.885010,0.778198,22.851563,24.902344,-4.248047
432230508,-0.458740,-0.177979,0.877441,2.769470,0.885010,0.862122,22.851563,24.902344,-4.248047
435150305,-0.456787,-0.176758,0.876221,2.624512,0.831604,0.747681,22.851563,24.902344,-4.248047
438192359,-0.461426,-0.177734,0.875244,2.937317,0.808716,0.717163,22.851563,24.902344,-4.248047
441198310,-0.457031,-0.172607,0.873047,2.990723,0.900269,0.289917,22.851563,24.902344,-4.248047
444205902,-0.458252,-0.175293,0.866699,2.586365,1.129150,0.564575,22.851563,24.902344,-4.248047
447118315,-0.460205,-0.176025,0.876709,2.700806,0.885010,0.595093,22.998047,25.634766,-3.955078
450120164,-0.455811,-0.179443,0.868896,3.112793,1.144409,0.503540,22.998047,25.634766,-3.955078
452622730,-0.455811,-0.177979,0.869629,2.319336,0.946045,0.358582,22.998047,25.634766,-3.955078
455192988,-0.452881,-0.178711,0.863525,2.639771,0.625610,0.541687,22.998047,25.634766,-3.955078
458202222,-0.453369,-0.179932,0.867432,2.647400,1.159668,0.564575,22.998047,25.634766,-3.955078
461212275,-0.454590,-0.181396,0.874023,2.799988,0.953674,0.686646,22.998047,25.634766,-3.955078
464213714,-0.456299,-0.177002,0.864014,2.502441,0.968933,0.564575,22.998047,25.634766,-3.955078
467164691,-0.449951,-0.177246,0.866699,2.601624,1.190186,0.701904,22.924805,25.122070,-4.174805
470243667,-0.457275,-0.178711,0.867188,2.288818,0.823975,0.846863,22.924805,25.122070,-4.174805
473161003,-0.453857,-0.180176,0.864502,2.418518,1.327515,0.816345,22.924805,25.122070,-4.174805
475660697,-0.456299,-0.180664,0.868164,2.639771,1.060486,0.968933,22.924805,25.122070,-4.174805
478217007,-0.455566,-0.177734,0.868164,2.159119,1.258850,0.907898,22.924805,25.122070,-4.174805
481218035,-0.457520,-0.179932,0.866943,2.494812,1.213074,0.877380,22.924805,25.122070,-4.174805
483712807,-0.456055,-0.177979,0.863525,2.189636,1.113892,0.785828,22.924805,25.122070,-4.174805
486304809,-0.457031,-0.177002,0.864746,2.090454,1.060486,0.900269,22.558594,24.902344,-3.515625
489355068,-0.456055,-0.175781,0.871826,2.319336,1.274109,1.060486,22.558594,24.902344,-3.515625
492385224,-0.460693,-0.173584,0.860107,2.021790,1.373291,0.885010,22.558594,24.902344,-3.515625
495357944,-0.457275,-0.176270,0.864990,1.838684,1.365662,0.923157,22.558594,24.902344,-3.515625
498345434,-0.456055,-0.170654,0.865479,1.953125,1.586914,0.801086,22.558594,24.902344,-3.515625
501348513,-0.456787,-0.171875,0.873535,1.708984,1.426697,0.778198,22.558594,24.902344,-3.515625
504270362,-0.456543,-0.169678,0.867188,2.044678,1.235962,0.717163,22.558594,24.902344,-3.515625
506770467,-0.455811,-0.171875,0.870117,1.953125,1.304626,0.885010,22.778320,24.682617,-4.614258
509369443,-0.456055,-0.171143,0.870117,1.495361,1.525879,0.701904,22.778320,24.682617,-4.614258
512418881,-0.455811,-0.174316,0.865967,1.487732,1.342773,0.671387,22.778320,24.682617,-4.614258
515869961,-0.455811,-0.174072,0.873291,1.373291,1.502991,0.740051,22.778320,24.682617,-4.614258
518892323,-0.454102,-0.175537,0.869141,1.312256,0.976563,0.518799,22.778320,24.682617,-4.614258
521846171,-0.458008,-0.177002,0.875488,1.182556,1.510620,0.457764,22.778320,24.682617,-4.614258
524478789,-0.454346,-0.177979,0.865723,1.396179,1.388550,0.549316,22.778320,24.682617,-4.614258
527473663,-0.457031,-0.177246,0.865723,1.251221,1.319885,0.709534,23.071289,24.682617,-3.881836
530429973,-0.457275,-0.181396,0.868408,1.350403,1.647949,0.419617,23.071289,24.682617,-3.881836
533450694,-0.457520,-0.181885,0.878418,1.441956,1.548767,0.556946,23.071289,24.682617,-3.881836
536495209,-0.457275,-0.180176,0.873779,1.266479,1.358032,0.816345,22.558594,24.755859,-4.248047
539495006,-0.460693,-0.177002,0.866699,1.350403,1.403809,0.679016,22.558594,24.755859,-4.248047
